FID,LSOA21CD,LSOA21NM,HSA,WDI,accessibility,score_perc,no_cars_perc,green_commute_perc,health_perc,no_deprivation_perc
13,E01000919,Camden 028D,7.411397808,1.378693028,5.360402932,0.496559633,0.800841515,0.762633997,0.822222222,0.453781513
206,E01004763,Westminster 013B,7.334875748,1.341867421,5.437781338,0.497821012,0.803043868,0.827938671,0.863163114,0.532676813
273,E01035716,Westminster 013G,6.259203232,1.219989363,5.020031511,0.482970085,0.812846947,0.751689189,0.844748858,0.476605868
186,E01004734,Westminster 018A,6.048878555,1.427551661,4.265917249,0.495852273,0.829511466,0.754208754,0.833333333,0.50498008
261,E01035669,Tower Hamlets 009F,5.782016035,1.609537011,3.571703108,0.466363636,0.7890625,0.776510832,0.888808664,0.599063963
134,E01004310,Tower Hamlets 015E,5.760896571,1.492512028,3.859680923,0.482689076,0.77014218,0.678678679,0.832344214,0.457888493
131,E01004307,Tower Hamlets 015B,5.718312082,1.498959864,3.83010153,0.477763975,0.80952381,0.831158864,0.904109589,0.609922179
130,E01004306,Tower Hamlets 015A,4.746469095,1.472589802,3.222107239,0.475,0.690856313,0.708559047,0.855748373,0.444767442
12,E01000918,Camden 028C,4.638029343,1.411448811,3.292283069,0.481301775,0.808588957,0.73255814,0.820412716,0.477300613
187,E01004735,Westminster 018B,4.552069864,1.495000514,3.117796987,0.492284866,0.834488735,0.788501027,0.868278244,0.551126516
137,E01004316,Tower Hamlets 009C,4.453189229,1.691233604,2.645349725,0.521052632,0.735763098,0.716312057,0.855630414,0.459090909
6,E01000853,Camden 029H,4.376189606,1.536089487,2.846108135,0.515957447,0.838888889,0.668615984,0.736654804,0.325
5,E01000851,Camden 026B,4.162034469,1.399018359,2.983998119,0.510629921,0.813291139,0.779904306,0.920108328,0.538827258
4,E01000850,Camden 026A,4.063999188,1.377662365,2.955912136,0.521266667,0.804537522,0.831550802,0.888421053,0.563699825
235,E01033706,Hackney 033B,4.062729064,1.695725861,2.405783919,0.464125,0.825136612,0.857280617,0.924033149,0.589603283
33,E01002696,Islington 020A,3.964150666,1.763074263,2.259448345,0.505365854,0.66744186,0.823475046,0.876861397,0.608139535
198,E01004749,Westminster 022B,3.679298013,1.350608898,2.716476515,0.505377358,0.648622982,0.784345048,0.907967033,0.6121673
236,E01033708,Hackney 033C,3.372925978,1.600971644,2.096322334,0.479787986,0.852721451,0.816455696,0.937834941,0.666666667
43,E01002724,Islington 022D,3.309772541,1.512733983,2.201431939,0.500347826,0.748701973,0.849364791,0.88738269,0.645530146
139,E01004321,Tower Hamlets 021C,3.171168899,1.39354402,2.273164643,0.480625,0.747330961,0.645914397,0.82805219,0.347980998
93,E01003929,Southwark 002B,3.164953588,1.747927694,1.810468532,0.479227273,0.762616822,0.794326241,0.874437219,0.588785047
10,E01000916,Camden 027B,3.098038639,1.471565965,2.108748105,0.500718954,0.807073955,0.764235764,0.830462863,0.488222698
263,E01035687,Tower Hamlets 021H,3.065207342,1.434937779,2.140367365,0.494133333,0.815905744,0.760047281,0.919382504,0.575443787
207,E01004765,Westminster 013D,3.053853963,1.257325774,2.412701778,0.512795699,0.747126437,0.760780287,0.870985011,0.56500956
23,E01000947,Camden 021C,3.052489893,1.6750743,1.816712226,0.539384615,0.779411765,0.682254197,0.861261261,0.399509804
32,E01002695,Islington 021A,2.997627397,1.762735302,1.698872393,0.524732143,0.77016129,0.747797357,0.817750678,0.52016129
3,E01000005,City of London 001E,2.967698054,1.553440982,1.950090887,0.493072626,0.782881002,0.627016129,0.808181818,0.340292276
45,E01002726,Islington 022F,2.961914753,1.586893661,1.871706127,0.538518519,0.715012723,0.76477684,0.818341121,0.486005089
224,E01033489,Islington 022G,2.955078289,1.592778099,1.864577621,0.496222222,0.771723122,0.83621684,0.921232877,0.673048601
175,E01004714,Westminster 011B,2.92644656,1.198303982,2.439503374,0.51796748,0.682095006,0.787909836,0.924415117,0.661800487
133,E01004309,Tower Hamlets 015D,2.925629848,1.450609046,2.033246626,0.495625,0.771762208,0.645765472,0.837092732,0.40552017
225,E01033490,Islington 022H,2.849692959,1.610656975,1.786946989,0.501759259,0.746858169,0.73100304,0.863896848,0.510791367
216,E01032739,City of London 001F,2.829412721,1.496966821,1.910016583,0.477162945,0.831626849,0.86440678,0.934487021,0.695108077
20,E01000943,Camden 029F,2.773809063,1.625566561,1.714217074,0.537692308,0.797235023,0.717439294,0.888888889,0.45890411
122,E01004208,Tower Hamlets 013C,2.689560006,1.612362389,1.6958401,0.483846154,0.752077562,0.677649154,0.871587462,0.506944444
136,E01004315,Tower Hamlets 006C,2.675573189,1.726664323,1.553579677,0.515529412,0.678300455,0.719496855,0.819620253,0.431164902
234,E01033605,Westminster 009K,2.642785936,1.661818277,1.58995006,0.47516129,0.698571429,0.605306799,0.781840341,0.303290415
190,E01004740,Westminster 021A,2.616899768,1.412814497,1.862003624,0.51047619,0.751138088,0.620320856,0.744061303,0.32674772
271,E01035711,Camden 026E,2.603972277,1.458844604,1.81285983,0.529112903,0.813747228,0.759477124,0.857377723,0.405315615
262,E01035686,Tower Hamlets 021G,2.534692225,1.408772512,1.810502883,0.479583333,0.814685315,0.688227684,0.863846662,0.50877193
7,E01000855,Camden 028A,2.510105424,1.394212615,1.807489644,0.553577982,0.855555556,0.807017544,0.871755725,0.39480198
98,E01003935,Southwark 002D,2.445302582,1.776493821,1.371270317,0.505833333,0.673809524,0.682092555,0.850583658,0.475177305
264,E01035688,Tower Hamlets 021I,2.368531177,1.466660318,1.617677654,0.505,0.86167147,0.79814077,0.931013797,0.65129683
44,E01002725,Islington 022E,2.366317671,1.593467299,1.486954763,0.560566038,0.736654804,0.651202749,0.818248712,0.370766488
217,E01032740,City of London 001G,2.334415386,1.518760568,1.533224781,0.480277778,0.830102623,0.894396552,0.932471264,0.668187001
233,E01033604,Westminster 009J,2.258813633,1.612593154,1.393469645,0.486521739,0.774907749,0.532945736,0.789161727,0.274907749
138,E01004319,Tower Hamlets 021A,2.254043415,1.445754031,1.569985074,0.477111111,0.714964371,0.606587374,0.833998404,0.354761905
102,E01003939,Southwark 002E,2.245119495,1.715048457,1.300406811,0.505530726,0.773863636,0.737122558,0.915949367,0.563636364
178,E01004717,Westminster 011D,2.228281681,1.196012887,1.881978719,0.510465116,0.741286863,0.811083123,0.910459588,0.632352941
141,E01004326,Tower Hamlets 017D,2.218921971,1.389231258,1.607841847,0.5171875,0.750652742,0.612114772,0.843220339,0.39243807
11,E01000917,Camden 027C,2.205451652,1.438835929,1.530182845,0.505436893,0.788,0.656441718,0.758015729,0.333333333
80,E01003017,Lambeth 036D,2.175878179,1.759397527,1.234575059,0.464655172,0.707953064,0.680901542,0.825260576,0.490861619
176,E01004715,Westminster 013A,2.153349912,1.36623117,1.572515922,0.540754717,0.743373494,0.736263736,0.849861496,0.443236715
194,E01004744,Westminster 020D,2.139171053,1.489664499,1.451533529,0.504945055,0.685286104,0.734254992,0.81443299,0.480272109
46,E01002727,Islington 021C,2.129129674,1.669013695,1.27401183,0.540240964,0.699501247,0.785560345,0.854689564,0.567331671
129,E01004304,Tower Hamlets 022C,2.127478323,1.358343996,1.573135673,0.473508772,0.710144928,0.540145985,0.813495783,0.312399356
218,E01032767,Tower Hamlets 021F,2.094489279,1.524590141,1.379418438,0.487926829,0.811557789,0.838879159,0.915547025,0.633375474
265,E01035689,Tower Hamlets 021J,2.075849841,1.489249549,1.397959079,0.495084746,0.772334294,0.773455378,0.887792848,0.59018759
197,E01004748,Westminster 020E,2.072107042,1.493113699,1.396464874,0.539076923,0.634615385,0.804270463,0.909613804,0.620423892
173,E01004712,Westminster 008C,2.065391439,1.203530876,1.733526801,0.504719101,0.694293478,0.826923077,0.88336784,0.638586957
2,E01000003,City of London 001C,2.01393541,1.633337731,1.230586278,0.501212121,0.812192724,0.823,0.853688779,0.480276134
135,E01004311,Tower Hamlets 006A,2.004983459,1.784704408,1.137608499,0.526582278,0.682959049,0.693103448,0.819512195,0.401844532
37,E01002703,Islington 023C,1.998781199,1.681384932,1.194357548,0.558571429,0.762877442,0.735927152,0.848782572,0.507528787
0,E01000001,City of London 001A,1.99126835,1.565243031,1.27381115,0.468916667,0.663082437,0.891454965,0.899661017,0.653937947
140,E01004322,Tower Hamlets 017A,1.979374928,1.475706914,1.348664566,0.506571429,0.724857685,0.62191358,0.868571429,0.344761905
79,E01003016,Lambeth 036C,1.91620885,1.720672538,1.10986008,0.509693878,0.6643026,0.707779886,0.837635304,0.541567696
244,E01033867,Southwark 002F,1.896429839,1.779636512,1.054798852,0.501623932,0.758278146,0.715039578,0.844214609,0.502479339
204,E01004761,Westminster 018D,1.858676653,1.13192518,1.67064329,0.506865204,0.615494978,0.761980831,0.899585062,0.647058824
1,E01000002,City of London 001B,1.817970839,1.538200524,1.208721545,0.467843137,0.701456311,0.900113507,0.909682081,0.65776699
31,E01001780,Hackney 032D,1.812258846,1.70144296,1.068153917,0.510337079,0.722679201,0.59137577,0.803964758,0.401639344
143,E01004658,Westminster 012B,1.795641159,1.181524874,1.515579326,0.518125,0.776196636,0.773631841,0.914642154,0.587322122
48,E01002729,Islington 021E,1.788447275,1.642810151,1.08712841,0.547475728,0.644478064,0.726797386,0.817513369,0.495440729
208,E01032582,Lambeth 036E,1.773421056,1.748617577,1.008612439,0.482666667,0.757081545,0.690322581,0.877300613,0.524463519
40,E01002707,Islington 022B,1.756336939,1.749873299,1.009987792,0.544910714,0.796629213,0.745745746,0.824272378,0.465768799
41,E01002711,Islington 021B,1.747192074,1.713396407,1.026400323,0.511098901,0.760914761,0.734530938,0.856157635,0.500520291
157,E01004684,Westminster 015C,1.735196407,1.037469887,1.678698897,0.543921569,0.661016949,0.702222222,0.86119403,0.478813559
268,E01035708,Camden 022F,1.72059266,1.753110546,0.986031849,0.4746875,0.792915531,0.758389262,0.908252178,0.531886024
27,E01000952,Camden 022A,1.717882089,1.671041802,1.022505412,0.534878049,0.695585997,0.614583333,0.785925488,0.292237443
18,E01000941,Camden 029D,1.715211008,1.654236371,1.038361031,0.526226415,0.745762712,0.609375,0.765246449,0.320150659
19,E01000942,Camden 029C,1.711054153,1.683674862,1.017150055,0.545789474,0.80511811,0.72183908,0.85770751,0.468503937
232,E01033603,Westminster 009I,1.710823643,1.569711865,1.093335185,0.49875,0.741116751,0.712585034,0.813586098,0.462962963
8,E01000914,Camden 028B,1.685758094,1.470259011,1.151233459,0.534529915,0.813315927,0.787921348,0.873150106,0.479057592
42,E01002723,Islington 022C,1.682492832,1.690952656,0.998429884,0.543191489,0.731972789,0.727272727,0.828344533,0.399182561
142,E01004657,Westminster 012A,1.672855072,1.201730365,1.391988081,0.509444444,0.666666667,0.814012739,0.936625514,0.6360601
227,E01033594,Westminster 015G,1.657786621,0.995037589,1.717164478,0.478291139,0.720399429,0.711399711,0.839786382,0.47083926
115,E01003981,Southwark 006F,1.638968372,1.712529827,0.955283441,0.475483871,0.751506024,0.722070845,0.831564987,0.47806354
259,E01035655,Islington 020F,1.63678461,1.760822145,0.928460518,0.527951807,0.654618474,0.719416386,0.805780347,0.515394913
15,E01000937,Camden 029G,1.604419674,1.588083618,1.008459673,0.555584416,0.858851675,0.741758242,0.88372093,0.389952153
188,E01004736,Westminster 018C,1.602599292,1.431841712,1.141121225,0.529275766,0.660344828,0.767653759,0.931105048,0.662629758
97,E01003934,Southwark 002C,1.599515652,1.716125013,0.919205006,0.485464481,0.719141324,0.826311264,0.858751279,0.602690583
155,E01004682,Westminster 016B,1.547718226,0.75080696,2.015336455,0.515662651,0.763392857,0.768421053,0.900078064,0.488095238
34,E01002697,Islington 019B,1.541960966,1.72571522,0.889713139,0.543606557,0.730350665,0.541073384,0.793997965,0.363855422
47,E01002728,Islington 021D,1.524944831,1.677949176,0.910364636,0.546666667,0.742009132,0.71641791,0.839787396,0.433789954
39,E01002706,Islington 023E,1.510943421,1.716560232,0.883069065,0.518125,0.753559693,0.746223565,0.851397744,0.42872807
184,E01004732,Westminster 020B,1.495572933,1.546967377,0.96819122,0.488072289,0.791606368,0.62962963,0.705118411,0.331403763
38,E01002704,Islington 023D,1.483486636,1.672191302,0.893260354,0.501415929,0.801962533,0.715111478,0.860356537,0.520535714
30,E01000956,Camden 022E,1.481473347,1.684839777,0.877987426,0.510487805,0.771523179,0.664921466,0.805980066,0.310743802
205,E01004762,Westminster 011E,1.481426973,1.131167562,1.300774135,0.524482759,0.598425197,0.802910053,0.83344093,0.554973822
132,E01004308,Tower Hamlets 015C,1.47924503,1.510720744,0.981136842,0.484634146,0.692913386,0.67765043,0.809722222,0.388998035
16,E01000938,Camden 029A,1.471275843,1.676229368,0.87777569,0.496491228,0.8144,0.649586777,0.833942941,0.3888
209,E01032583,Southwark 034D,1.469137087,1.701840365,0.860041391,0.483656716,0.73827699,0.701263538,0.879941435,0.492374728
174,E01004713,Westminster 011A,1.451853468,1.251842202,1.16378233,0.494017094,0.656115108,0.837086093,0.923193916,0.682926829
171,E01004702,Westminster 009E,1.41363852,1.596046087,0.881318003,0.520314961,0.649580615,0.58607714,0.74884218,0.249067164
192,E01004742,Westminster 022A,1.412877626,1.443305965,0.986093912,0.521111111,0.646393211,0.758579882,0.892686804,0.575070822
196,E01004747,Westminster 021E,1.387343825,1.423694701,0.971137502,0.512815534,0.708015267,0.716521739,0.836772123,0.536259542
35,E01002701,Islington 023A,1.371468947,1.774356174,0.774872837,0.520273973,0.775811209,0.675438596,0.781632653,0.345132743
200,E01004751,Westminster 022C,1.363086445,1.32560764,1.032962434,0.525090909,0.605194805,0.823464912,0.779334501,0.597402597
36,E01002702,Islington 023B,1.316085999,1.784447691,0.738164562,0.50815534,0.779569892,0.717509025,0.838735818,0.423318386
61,E01002828,Kensington and Chelsea 008E,1.311375799,1.39639831,0.942421037,0.485652174,0.549363057,0.745513866,0.88907563,0.588141026
146,E01004661,Westminster 012C,1.298729368,1.255693254,1.038952273,0.505,0.731132075,0.754528986,0.866866867,0.544705882
148,E01004663,Westminster 012E,1.259952742,1.171137036,1.076133696,0.512738095,0.677329624,0.780802292,0.8674189,0.56545961
55,E01002818,Kensington and Chelsea 012A,1.259422648,1.335659568,0.930880204,0.521621622,0.65,0.791601866,0.946570397,0.640387275
270,E01035710,Camden 023F,1.255849979,1.59504458,0.792454646,0.498707865,0.758082497,0.55739645,0.829192547,0.315496098
183,E01004731,Westminster 020A,1.251260871,1.506957545,0.825866029,0.520606061,0.734811958,0.820016142,0.925112332,0.671166827
64,E01002883,Kensington and Chelsea 006B,1.249561867,1.327669806,0.948884156,0.504666667,0.525423729,0.76819407,0.889641165,0.681047766
266,E01035696,Tower Hamlets 026E,1.24742438,1.696324066,0.763895642,0.490533333,0.749169435,0.832506203,0.923922232,0.605306799
199,E01004750,Westminster 023E,1.244136943,1.315536941,0.944654573,0.488965517,0.711904762,0.70153417,0.810094637,0.460714286
65,E01002884,Kensington and Chelsea 006C,1.242031582,1.257261569,0.982344014,0.539166667,0.715488215,0.713896458,0.86416185,0.511744966
231,E01033602,Westminster 009H,1.231954909,1.712696918,0.720007033,0.483421053,0.742088608,0.567829457,0.772102161,0.238924051
17,E01000939,Camden 029B,1.225058409,1.657248943,0.738421605,0.536610169,0.771134021,0.559288538,0.811333794,0.323045267
123,E01004291,Tower Hamlets 027A,1.205822934,1.688407961,0.71371139,0.497777778,0.60139165,0.786061588,0.90266876,0.621272366
147,E01004662,Westminster 012D,1.194745186,1.219936873,0.994336056,0.504222222,0.775353017,0.794078062,0.903860712,0.565384615
253,E01033884,Southwark 035A,1.185792661,1.656204733,0.713761936,0.489170984,0.806070826,0.762900976,0.912964642,0.636824324
182,E01004730,Westminster 001D,1.184408287,1.155259394,1.024648095,0.533475177,0.535150646,0.781428571,0.886986301,0.623209169
214,E01032646,Southwark 036B,1.180093747,1.646603942,0.708158411,0.487080745,0.754037267,0.787476281,0.889768977,0.652605459
128,E01004301,Tower Hamlets 025B,1.165504691,1.443335913,0.812659012,0.503478261,0.617154812,0.576619273,0.826760563,0.385744235
126,E01004295,Tower Hamlets 026C,1.165169619,1.590666222,0.740373475,0.477317073,0.659159159,0.552095808,0.841816367,0.371814093
49,E01002801,Islington 020C,1.16005513,1.80202562,0.642511921,0.516470588,0.646437995,0.832783278,0.873972603,0.612945839
28,E01000954,Camden 022C,1.155615199,1.697672255,0.681122563,0.493333333,0.728813559,0.507272727,0.789263278,0.226502311
185,E01004733,Westminster 020C,1.152795854,1.489054888,0.767432695,0.530933333,0.618239661,0.800529568,0.911512845,0.654334038
75,E01002902,Kensington and Chelsea 018D,1.149084933,1.22986451,0.945014437,0.518039216,0.59887798,0.7375,0.884176183,0.612903226
201,E01004752,Westminster 022D,1.14681532,1.418710999,0.811050638,0.48875,0.70070922,0.654731458,0.814243759,0.465248227
230,E01033601,Westminster 009G,1.146215866,1.731402923,0.664261893,0.513333333,0.615131579,0.544338336,0.745711403,0.245065789
238,E01033711,Hackney 032C,1.133502944,1.722509527,0.659334157,0.51796875,0.868331442,0.836947095,0.942498693,0.694665153
272,E01035712,Camden 029E,1.132159134,1.572718044,0.719603298,0.527959184,0.721024259,0.704976303,0.829198861,0.378378378
24,E01000948,Camden 021D,1.131064528,1.665091634,0.676687596,0.53,0.623324397,0.735723772,0.848366013,0.475167785
240,E01033863,Lambeth 003G,1.115310248,1.611080126,0.6881492,0.528349515,0.696869852,0.540540541,0.812830189,0.33553719
191,E01004741,Westminster 024F,1.110102023,1.475036082,0.753568382,0.517560976,0.711509716,0.720670391,0.855151046,0.403903904
260,E01035656,Islington 020G,1.104819951,1.740956422,0.63550841,0.488709677,0.778085992,0.823050058,0.909642616,0.659722222
